time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK
2817,0.24937655860349128,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2518891687657431,0.2469135802469136,0.26595744680851063,0.2695417789757412,0.2506265664160401,0.2645502645502646,0.2469135802469136,0.2770083102493075,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2881844380403458,0.24937655860349128,0.2506265664160401,0.24937655860349128,0.2469135802469136,0.3058103975535168,0.2469135802469136,0.24875621890547267,0.24752475247524752,0.267379679144385,0.24875621890547267,0.2469135802469136
2818,0.24875621890547267,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2518891687657431,0.24630541871921185,0.25839793281653745,0.26881720430107525,0.24937655860349128,0.2645502645502646,0.2469135802469136,0.273972602739726,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.28169014084507044,0.24937655860349128,0.25125628140703515,0.24937655860349128,0.2469135802469136,0.30120481927710846,0.2469135802469136,0.24813895781637715,0.24752475247524752,0.26246719160104987,0.24813895781637715,0.24630541871921185
2819,0.24813895781637715,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2506265664160401,0.24630541871921185,0.25510204081632654,0.2695417789757412,0.24937655860349128,0.26525198938992045,0.2469135802469136,0.2717391304347826,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2770083102493075,0.24875621890547267,0.2518891687657431,0.25,0.24630541871921185,0.2976190476190476,0.24630541871921185,0.2469135802469136,0.2469135802469136,0.2597402597402597,0.2469135802469136,0.24630541871921185
2820,0.24752475247524752,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.25,0.24630541871921185,0.2531645569620253,0.27027027027027023,0.24937655860349128,0.26666666666666666,0.2469135802469136,0.2710027100271003,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.273972602739726,0.24813895781637715,0.2518891687657431,0.25,0.24630541871921185,0.2958579881656805,0.24630541871921185,0.2469135802469136,0.2469135802469136,0.25839793281653745,0.24630541871921185,0.24630541871921185
2821,0.24752475247524752,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24937655860349128,0.24630541871921185,0.25252525252525254,0.27322404371584696,0.24937655860349128,0.2695417789757412,0.2469135802469136,0.27027027027027023,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2717391304347826,0.24813895781637715,0.25252525252525254,0.25125628140703515,0.24630541871921185,0.2949852507374631,0.24630541871921185,0.2469135802469136,0.24752475247524752,0.2577319587628866,0.24630541871921185,0.24630541871921185
2822,0.2469135802469136,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24813895781637715,0.24630541871921185,0.25125628140703515,0.27624309392265195,0.24937655860349128,0.273972602739726,0.2469135802469136,0.27027027027027023,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2695417789757412,0.24752475247524752,0.25380710659898476,0.25252525252525254,0.24630541871921185,0.2958579881656805,0.24630541871921185,0.24752475247524752,0.24875621890547267,0.25839793281653745,0.24630541871921185,0.24630541871921185
2823,0.2469135802469136,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24813895781637715,0.24630541871921185,0.2506265664160401,0.2857142857142857,0.25,0.2857142857142857,0.2469135802469136,0.27027027027027023,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2680965147453083,0.24752475247524752,0.2645502645502646,0.26881720430107525,0.24630541871921185,0.2976190476190476,0.24630541871921185,0.24752475247524752,0.2544529262086514,0.2604166666666667,0.24630541871921185,0.24630541871921185
2824,0.2469135802469136,0.24630541871921185,0.2469135802469136,0.24630541871921185,0.25,0.24630541871921185,0.2518891687657431,0.2949852507374631,0.2506265664160401,0.29940119760479045,0.2469135802469136,0.2717391304347826,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2680965147453083,0.24752475247524752,0.2785515320334262,0.2840909090909091,0.24630541871921185,0.30303030303030304,0.24752475247524752,0.24813895781637715,0.2597402597402597,0.27027027027027023,0.24630541871921185,0.2469135802469136
2825,0.24752475247524752,0.24630541871921185,0.25,0.24752475247524752,0.2544529262086514,0.24630541871921185,0.25380710659898476,0.30303030303030304,0.2518891687657431,0.3105590062111801,0.24813895781637715,0.2747252747252747,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.2695417789757412,0.24813895781637715,0.28901734104046245,0.2976190476190476,0.24630541871921185,0.3246753246753247,0.24937655860349128,0.24875621890547267,0.26595744680851063,0.28901734104046245,0.24630541871921185,0.24937655860349128
2826,0.24875621890547267,0.2469135802469136,0.25380710659898476,0.24813895781637715,0.2577319587628866,0.2469135802469136,0.2577319587628866,0.3076923076923077,0.2544529262086514,0.3194888178913738,0.24937655860349128,0.27932960893854747,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.27322404371584696,0.24875621890547267,0.29673590504451036,0.30959752321981426,0.2469135802469136,0.3401360544217687,0.25252525252525254,0.24875621890547267,0.2717391304347826,0.30120481927710846,0.24630541871921185,0.2531645569620253
2827,0.25,0.24875621890547267,0.2577319587628866,0.24875621890547267,0.2597402597402597,0.2469135802469136,0.2638522427440633,0.3125,0.2557544757033248,0.3278688524590164,0.2506265664160401,0.2840909090909091,0.24630541871921185,0.24630541871921185,0.24752475247524752,0.2785515320334262,0.2506265664160401,0.3003003003003003,0.3205128205128205,0.2469135802469136,0.3484320557491289,0.25641025641025644,0.24937655860349128,0.2777777777777778,0.3105590062111801,0.24630541871921185,0.2570694087403599
2828,0.25125628140703515,0.25125628140703515,0.2617801047120419,0.25,0.2631578947368421,0.24752475247524752,0.2695417789757412,0.31746031746031744,0.2577319587628866,0.33557046979865773,0.25252525252525254,0.28735632183908044,0.24630541871921185,0.24630541871921185,0.24813895781637715,0.2840909090909091,0.25125628140703515,0.3021148036253776,0.3278688524590164,0.2506265664160401,0.35335689045936397,0.2604166666666667,0.25,0.28328611898017,0.3184713375796178,0.24752475247524752,0.2604166666666667
2829,0.2531645569620253,0.2544529262086514,0.26666666666666666,0.2518891687657431,0.267379679144385,0.24937655860349128,0.2747252747252747,0.3236245954692557,0.2610966057441253,0.3436426116838488,0.2557544757033248,0.29069767441860467,0.2469135802469136,0.24630541871921185,0.24937655860349128,0.2898550724637681,0.25252525252525254,0.3048780487804878,0.3333333333333333,0.25510204081632654,0.35842293906810035,0.2638522427440633,0.2506265664160401,0.2898550724637681,0.32573289902280134,0.24813895781637715,0.2638522427440633
2830,0.25641025641025644,0.2570694087403599,0.2717391304347826,0.25510204081632654,0.26881720430107525,0.2506265664160401,0.2785515320334262,0.3278688524590164,0.2638522427440633,0.3508771929824561,0.2590673575129534,0.29411764705882354,0.2469135802469136,0.24630541871921185,0.2531645569620253,0.29673590504451036,0.25510204081632654,0.3048780487804878,0.33444816053511706,0.2597402597402597,0.36363636363636365,0.26881720430107525,0.25125628140703515,0.2949852507374631,0.3333333333333333,0.24937655860349128,0.27027027027027023
2831,0.2597402597402597,0.2604166666666667,0.27624309392265195,0.2570694087403599,0.273972602739726,0.25252525252525254,0.27932960893854747,0.3333333333333333,0.267379679144385,0.35714285714285715,0.2631578947368421,0.2949852507374631,0.2469135802469136,0.24630541871921185,0.2557544757033248,0.30303030303030304,0.25641025641025644,0.3067484662576687,0.33557046979865773,0.2645502645502646,0.3676470588235294,0.2717391304347826,0.25380710659898476,0.29940119760479045,0.33670033670033667,0.25125628140703515,0.273972602739726
2832,0.2631578947368421,0.2645502645502646,0.2801120448179272,0.2590673575129534,0.2770083102493075,0.2544529262086514,0.2808988764044944,0.33783783783783783,0.27027027027027023,0.3623188405797102,0.26595744680851063,0.29850746268656714,0.2469135802469136,0.24630541871921185,0.2597402597402597,0.3105590062111801,0.2577319587628866,0.3067484662576687,0.33670033670033667,0.26881720430107525,0.3731343283582089,0.2747252747252747,0.25510204081632654,0.30303030303030304,0.3389830508474576,0.2531645569620253,0.2777777777777778
2833,0.2645502645502646,0.267379679144385,0.28328611898017,0.2604166666666667,0.27624309392265195,0.2557544757033248,0.2824858757062147,0.3333333333333333,0.2724795640326976,0.3508771929824561,0.26881720430107525,0.30120481927710846,0.2469135802469136,0.24630541871921185,0.26246719160104987,0.3164556962025316,0.2570694087403599,0.3048780487804878,0.3278688524590164,0.2717391304347826,0.37593984962406013,0.27548209366391185,0.25839793281653745,0.30303030303030304,0.3401360544217687,0.25380710659898476,0.2808988764044944
2834,0.26666666666666666,0.2710027100271003,0.2695417789757412,0.26246719160104987,0.27624309392265195,0.2570694087403599,0.2840909090909091,0.3225806451612903,0.273972602739726,0.33444816053511706,0.2717391304347826,0.303951367781155,0.24630541871921185,0.2469135802469136,0.26525198938992045,0.3205128205128205,0.2570694087403599,0.29239766081871343,0.30864197530864196,0.2747252747252747,0.37593984962406013,0.2770083102493075,0.2604166666666667,0.28169014084507044,0.33783783783783783,0.2544529262086514,0.2824858757062147
2835,0.2645502645502646,0.273972602739726,0.2590673575129534,0.2604166666666667,0.2770083102493075,0.2577319587628866,0.2849002849002849,0.30959752321981426,0.2747252747252747,0.3164556962025316,0.273972602739726,0.30864197530864196,0.24630541871921185,0.24630541871921185,0.2610966057441253,0.3246753246753247,0.25641025641025644,0.2777777777777778,0.29069767441860467,0.2777777777777778,0.3676470588235294,0.2724795640326976,0.26246719160104987,0.26595744680851063,0.32894736842105265,0.25252525252525254,0.27624309392265195
2836,0.2544529262086514,0.2645502645502646,0.24937655860349128,0.2531645569620253,0.2695417789757412,0.2544529262086514,0.2824858757062147,0.29411764705882354,0.27322404371584696,0.29673590504451036,0.2695417789757412,0.3115264797507788,0.24630541871921185,0.24630541871921185,0.2518891687657431,0.3278688524590164,0.2531645569620253,0.25839793281653745,0.2710027100271003,0.2710027100271003,0.35587188612099646,0.2638522427440633,0.2645502645502646,0.2518891687657431,0.31746031746031744,0.2469135802469136,0.2645502645502646
2837,0.24813895781637715,0.2577319587628866,0.24875621890547267,0.24630541871921185,0.26525198938992045,0.2506265664160401,0.2785515320334262,0.2808988764044944,0.2695417789757412,0.28328611898017,0.2645502645502646,0.3125,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.32894736842105265,0.2518891687657431,0.25,0.2544529262086514,0.2631578947368421,0.3389830508474576,0.25380710659898476,0.26666666666666666,0.24875621890547267,0.303951367781155,0.24630541871921185,0.2506265664160401
2838,0.2469135802469136,0.2506265664160401,0.24813895781637715,0.24630541871921185,0.2604166666666667,0.24752475247524752,0.27027027027027023,0.27322404371584696,0.26595744680851063,0.2747252747252747,0.25839793281653745,0.30959752321981426,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.3194888178913738,0.2506265664160401,0.24813895781637715,0.24813895781637715,0.2544529262086514,0.3215434083601286,0.24937655860349128,0.2638522427440633,0.24752475247524752,0.29154518950437314,0.24630541871921185,0.24630541871921185
2839,0.2469135802469136,0.25,0.24752475247524752,0.24630541871921185,0.2570694087403599,0.2469135802469136,0.2631578947368421,0.27027027027027023,0.2610966057441253,0.26881720430107525,0.25510204081632654,0.30303030303030304,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.3058103975535168,0.24937655860349128,0.2469135802469136,0.2469135802469136,0.2506265664160401,0.3076923076923077,0.24752475247524752,0.2577319587628866,0.2469135802469136,0.28328611898017,0.24630541871921185,0.24630541871921185
2840,0.2469135802469136,0.24937655860349128,0.2469135802469136,0.24630541871921185,0.25510204081632654,0.2469135802469136,0.25839793281653745,0.26881720430107525,0.2577319587628866,0.26595744680851063,0.2544529262086514,0.29673590504451036,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.29411764705882354,0.24937655860349128,0.24630541871921185,0.2469135802469136,0.24875621890547267,0.29850746268656714,0.2469135802469136,0.2518891687657431,0.24630541871921185,0.27932960893854747,0.24630541871921185,0.24630541871921185
2841,0.2469135802469136,0.24937655860349128,0.2469135802469136,0.24630541871921185,0.25510204081632654,0.2469135802469136,0.25510204081632654,0.26666666666666666,0.2557544757033248,0.2645502645502646,0.25380710659898476,0.28901734104046245,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2849002849002849,0.24937655860349128,0.24630541871921185,0.2469135802469136,0.24813895781637715,0.29325513196480935,0.24630541871921185,0.25,0.24630541871921185,0.2770083102493075,0.24630541871921185,0.24630541871921185
2842,0.2469135802469136,0.2506265664160401,0.24630541871921185,0.24630541871921185,0.25641025641025644,0.2469135802469136,0.2518891687657431,0.2645502645502646,0.2544529262086514,0.2631578947368421,0.25380710659898476,0.2801120448179272,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.27624309392265195,0.24937655860349128,0.24630541871921185,0.24630541871921185,0.24875621890547267,0.2898550724637681,0.24630541871921185,0.24875621890547267,0.24630541871921185,0.27624309392265195,0.24630541871921185,0.24630541871921185
2843,0.2469135802469136,0.2518891687657431,0.24630541871921185,0.24630541871921185,0.2590673575129534,0.2469135802469136,0.2506265664160401,0.2631578947368421,0.25380710659898476,0.26246719160104987,0.2544529262086514,0.2710027100271003,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2695417789757412,0.25,0.24630541871921185,0.24630541871921185,0.2518891687657431,0.2881844380403458,0.24630541871921185,0.24813895781637715,0.24630541871921185,0.27624309392265195,0.24630541871921185,0.24630541871921185
2844,0.2469135802469136,0.25252525252525254,0.24630541871921185,0.24630541871921185,0.2617801047120419,0.2469135802469136,0.25,0.2610966057441253,0.25380710659898476,0.2617801047120419,0.2544529262086514,0.2631578947368421,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2638522427440633,0.25,0.24630541871921185,0.24630541871921185,0.25641025641025644,0.2881844380403458,0.24630541871921185,0.24752475247524752,0.24630541871921185,0.27624309392265195,0.24630541871921185,0.24630541871921185
2845,0.2469135802469136,0.2518891687657431,0.2469135802469136,0.24630541871921185,0.2631578947368421,0.2469135802469136,0.25,0.2597402597402597,0.25510204081632654,0.2610966057441253,0.25510204081632654,0.2577319587628866,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2590673575129534,0.25,0.2469135802469136,0.24630541871921185,0.2604166666666667,0.2898550724637681,0.24630541871921185,0.24752475247524752,0.24630541871921185,0.27624309392265195,0.24630541871921185,0.24630541871921185
2846,0.2469135802469136,0.2531645569620253,0.2469135802469136,0.24630541871921185,0.26525198938992045,0.2469135802469136,0.2518891687657431,0.2604166666666667,0.25641025641025644,0.2631578947368421,0.25641025641025644,0.25510204081632654,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.25510204081632654,0.25,0.2469135802469136,0.2469135802469136,0.2631578947368421,0.29239766081871343,0.24630541871921185,0.24752475247524752,0.24630541871921185,0.2777777777777778,0.24630541871921185,0.24630541871921185
2847,0.2469135802469136,0.2570694087403599,0.2469135802469136,0.24630541871921185,0.2680965147453083,0.2469135802469136,0.2544529262086514,0.2610966057441253,0.25839793281653745,0.27548209366391185,0.2577319587628866,0.2544529262086514,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.25380710659898476,0.2506265664160401,0.2469135802469136,0.2469135802469136,0.26595744680851063,0.2958579881656805,0.24630541871921185,0.24752475247524752,0.24752475247524752,0.2801120448179272,0.24630541871921185,0.24630541871921185
2848,0.24752475247524752,0.2631578947368421,0.24752475247524752,0.24630541871921185,0.27027027027027023,0.24752475247524752,0.2577319587628866,0.2645502645502646,0.2610966057441253,0.28735632183908044,0.2604166666666667,0.2557544757033248,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2531645569620253,0.25125628140703515,0.2469135802469136,0.2469135802469136,0.2717391304347826,0.3003003003003003,0.24630541871921185,0.24752475247524752,0.25,0.2840909090909091,0.24630541871921185,0.24630541871921185
2849,0.24752475247524752,0.27027027027027023,0.24752475247524752,0.24630541871921185,0.2724795640326976,0.25,0.2604166666666667,0.2680965147453083,0.26525198938992045,0.29411764705882354,0.2645502645502646,0.2597402597402597,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.25510204081632654,0.25125628140703515,0.24630541871921185,0.2469135802469136,0.2770083102493075,0.3076923076923077,0.24630541871921185,0.24813895781637715,0.25252525252525254,0.2881844380403458,0.24630541871921185,0.24630541871921185
2850,0.24813895781637715,0.2777777777777778,0.24875621890547267,0.24630541871921185,0.2747252747252747,0.2544529262086514,0.2631578947368421,0.27027027027027023,0.27027027027027023,0.29673590504451036,0.27027027027027023,0.26666666666666666,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2590673575129534,0.25252525252525254,0.24630541871921185,0.2469135802469136,0.28169014084507044,0.3164556962025316,0.24630541871921185,0.24937655860349128,0.2544529262086514,0.29069767441860467,0.24630541871921185,0.24630541871921185
2851,0.24937655860349128,0.2849002849002849,0.25125628140703515,0.24630541871921185,0.2770083102493075,0.2597402597402597,0.267379679144385,0.2724795640326976,0.2747252747252747,0.29940119760479045,0.27548209366391185,0.2808988764044944,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.267379679144385,0.25252525252525254,0.2469135802469136,0.24752475247524752,0.28653295128939826,0.3225806451612903,0.2469135802469136,0.25125628140703515,0.2577319587628866,0.29239766081871343,0.24630541871921185,0.24630541871921185
2852,0.2518891687657431,0.29154518950437314,0.2544529262086514,0.24630541871921185,0.27932960893854747,0.26525198938992045,0.2717391304347826,0.273972602739726,0.2785515320334262,0.30120481927710846,0.2808988764044944,0.29411764705882354,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2747252747252747,0.25252525252525254,0.24813895781637715,0.24875621890547267,0.29069767441860467,0.32894736842105265,0.2469135802469136,0.25252525252525254,0.2631578947368421,0.29411764705882354,0.2469135802469136,0.24630541871921185
2853,0.2544529262086514,0.2976190476190476,0.2604166666666667,0.24630541871921185,0.2849002849002849,0.26881720430107525,0.27548209366391185,0.27624309392265195,0.2824858757062147,0.30303030303030304,0.2881844380403458,0.303951367781155,0.2469135802469136,0.24630541871921185,0.24630541871921185,0.2801120448179272,0.25380710659898476,0.2506265664160401,0.25,0.2958579881656805,0.33557046979865773,0.2469135802469136,0.2557544757033248,0.2680965147453083,0.2958579881656805,0.2469135802469136,0.24630541871921185
2854,0.2577319587628866,0.303951367781155,0.26666666666666666,0.24630541871921185,0.2770083102493075,0.2710027100271003,0.27932960893854747,0.27624309392265195,0.2857142857142857,0.303951367781155,0.29154518950437314,0.3125,0.2469135802469136,0.24630541871921185,0.24630541871921185,0.2840909090909091,0.2557544757033248,0.2531645569620253,0.2506265664160401,0.3003003003003003,0.3424657534246575,0.24752475247524752,0.2604166666666667,0.27322404371584696,0.29673590504451036,0.24752475247524752,0.24630541871921185
2855,0.2604166666666667,0.30864197530864196,0.2717391304347826,0.24630541871921185,0.2801120448179272,0.273972602739726,0.2840909090909091,0.27624309392265195,0.2898550724637681,0.303951367781155,0.29940119760479045,0.3184713375796178,0.2469135802469136,0.24630541871921185,0.24630541871921185,0.2881844380403458,0.2570694087403599,0.25641025641025644,0.2531645569620253,0.3048780487804878,0.3460207612456747,0.24813895781637715,0.2638522427440633,0.2785515320334262,0.29850746268656714,0.24752475247524752,0.24630541871921185
2856,0.2638522427440633,0.31347962382445144,0.2770083102493075,0.2469135802469136,0.2824858757062147,0.2777777777777778,0.28735632183908044,0.27624309392265195,0.29411764705882354,0.303951367781155,0.3058103975535168,0.3215434083601286,0.24752475247524752,0.24630541871921185,0.24630541871921185,0.2898550724637681,0.2590673575129534,0.2590673575129534,0.25641025641025644,0.30864197530864196,0.3496503496503497,0.24875621890547267,0.2680965147453083,0.28169014084507044,0.3003003003003003,0.24875621890547267,0.24630541871921185
2857,0.2645502645502646,0.31746031746031744,0.27932960893854747,0.24752475247524752,0.2849002849002849,0.2808988764044944,0.29069767441860467,0.27548209366391185,0.2958579881656805,0.3003003003003003,0.3115264797507788,0.3246753246753247,0.24752475247524752,0.24630541871921185,0.24630541871921185,0.29069767441860467,0.2604166666666667,0.2604166666666667,0.25641025641025644,0.3115264797507788,0.35211267605633806,0.24875621890547267,0.2724795640326976,0.28169014084507044,0.30120481927710846,0.25,0.2469135802469136
2858,0.2645502645502646,0.3215434083601286,0.26595744680851063,0.24813895781637715,0.2898550724637681,0.2849002849002849,0.2958579881656805,0.27322404371584696,0.29673590504451036,0.2958579881656805,0.31746031746031744,0.3278688524590164,0.2469135802469136,0.24630541871921185,0.2469135802469136,0.29069767441860467,0.2617801047120419,0.2570694087403599,0.25252525252525254,0.31545741324921134,0.35211267605633806,0.24937655860349128,0.27548209366391185,0.2645502645502646,0.3021148036253776,0.25,0.24752475247524752
2859,0.2638522427440633,0.32679738562091504,0.2570694087403599,0.24875621890547267,0.2949852507374631,0.28735632183908044,0.2976190476190476,0.267379679144385,0.29850746268656714,0.28901734104046245,0.3225806451612903,0.33003300330033003,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.29069767441860467,0.2631578947368421,0.2506265664160401,0.24875621890547267,0.31746031746031744,0.3472222222222222,0.24875621890547267,0.2785515320334262,0.25252525252525254,0.29940119760479045,0.24813895781637715,0.2469135802469136
2860,0.2577319587628866,0.31746031746031744,0.24875621890547267,0.24875621890547267,0.2949852507374631,0.28653295128939826,0.29239766081871343,0.26525198938992045,0.29940119760479045,0.28169014084507044,0.3205128205128205,0.33112582781456956,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.29069767441860467,0.2570694087403599,0.25,0.24813895781637715,0.30864197530864196,0.33670033670033667,0.24813895781637715,0.2808988764044944,0.24752475247524752,0.29673590504451036,0.2469135802469136,0.24630541871921185
2861,0.2518891687657431,0.303951367781155,0.24813895781637715,0.24875621890547267,0.2958579881656805,0.2824858757062147,0.2849002849002849,0.2638522427440633,0.29154518950437314,0.2747252747252747,0.3115264797507788,0.3225806451612903,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2898550724637681,0.25510204081632654,0.24752475247524752,0.24813895781637715,0.2958579881656805,0.3246753246753247,0.24752475247524752,0.2824858757062147,0.24630541871921185,0.29154518950437314,0.24630541871921185,0.24630541871921185
2862,0.25,0.2898550724637681,0.24752475247524752,0.24875621890547267,0.29325513196480935,0.27624309392265195,0.27548209366391185,0.26525198938992045,0.2824858757062147,0.2695417789757412,0.29940119760479045,0.3067484662576687,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2881844380403458,0.25252525252525254,0.24630541871921185,0.24813895781637715,0.2849002849002849,0.3105590062111801,0.24752475247524752,0.27548209366391185,0.24630541871921185,0.2840909090909091,0.24630541871921185,0.24630541871921185
2863,0.24875621890547267,0.27624309392265195,0.2469135802469136,0.24875621890547267,0.29069767441860467,0.26881720430107525,0.26525198938992045,0.267379679144385,0.273972602739726,0.26595744680851063,0.28653295128939826,0.28735632183908044,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2840909090909091,0.25125628140703515,0.24630541871921185,0.24813895781637715,0.27548209366391185,0.30120481927710846,0.2469135802469136,0.26595744680851063,0.24630541871921185,0.2770083102493075,0.24630541871921185,0.24630541871921185
2864,0.2469135802469136,0.26525198938992045,0.24630541871921185,0.24875621890547267,0.2881844380403458,0.2631578947368421,0.2577319587628866,0.2695417789757412,0.26881720430107525,0.2638522427440633,0.2747252747252747,0.2695417789757412,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2801120448179272,0.25,0.24630541871921185,0.24875621890547267,0.2680965147453083,0.29239766081871343,0.2469135802469136,0.25641025641025644,0.24630541871921185,0.27027027027027023,0.24630541871921185,0.24630541871921185
2865,0.2469135802469136,0.25641025641025644,0.24630541871921185,0.24875621890547267,0.2849002849002849,0.2590673575129534,0.25380710659898476,0.2717391304347826,0.26246719160104987,0.2631578947368421,0.26595744680851063,0.2617801047120419,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.27548209366391185,0.24937655860349128,0.24630541871921185,0.24875621890547267,0.26246719160104987,0.28653295128939826,0.2469135802469136,0.2506265664160401,0.24630541871921185,0.2631578947368421,0.24630541871921185,0.24630541871921185
2866,0.2469135802469136,0.25125628140703515,0.24630541871921185,0.24813895781637715,0.28169014084507044,0.2570694087403599,0.25252525252525254,0.2724795640326976,0.2570694087403599,0.26246719160104987,0.2597402597402597,0.2590673575129534,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.27027027027027023,0.24937655860349128,0.24752475247524752,0.24937655860349128,0.2590673575129534,0.28328611898017,0.2469135802469136,0.24813895781637715,0.24630541871921185,0.2577319587628866,0.24630541871921185,0.24630541871921185
2867,0.2469135802469136,0.24937655860349128,0.24630541871921185,0.24813895781637715,0.2785515320334262,0.25510204081632654,0.25252525252525254,0.27322404371584696,0.25252525252525254,0.26246719160104987,0.2570694087403599,0.25839793281653745,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2645502645502646,0.24875621890547267,0.24752475247524752,0.24875621890547267,0.25641025641025644,0.28169014084507044,0.2469135802469136,0.2469135802469136,0.24630541871921185,0.25380710659898476,0.24630541871921185,0.24630541871921185
2868,0.24630541871921185,0.24813895781637715,0.24630541871921185,0.24813895781637715,0.2770083102493075,0.2544529262086514,0.2531645569620253,0.2717391304347826,0.24937655860349128,0.2617801047120419,0.2557544757033248,0.25839793281653745,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2570694087403599,0.24875621890547267,0.24813895781637715,0.24875621890547267,0.25510204081632654,0.28169014084507044,0.2469135802469136,0.24630541871921185,0.24630541871921185,0.25252525252525254,0.24630541871921185,0.24630541871921185
2869,0.24630541871921185,0.24752475247524752,0.24630541871921185,0.24813895781637715,0.27548209366391185,0.2531645569620253,0.25380710659898476,0.2724795640326976,0.24813895781637715,0.26246719160104987,0.2544529262086514,0.2570694087403599,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24937655860349128,0.24875621890547267,0.24937655860349128,0.24875621890547267,0.2544529262086514,0.28169014084507044,0.2469135802469136,0.24630541871921185,0.24630541871921185,0.2518891687657431,0.24630541871921185,0.24630541871921185
2870,0.24630541871921185,0.24752475247524752,0.24630541871921185,0.24813895781637715,0.27548209366391185,0.25252525252525254,0.25510204081632654,0.273972602739726,0.24813895781637715,0.2638522427440633,0.2544529262086514,0.2557544757033248,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24813895781637715,0.24875621890547267,0.2506265664160401,0.24875621890547267,0.25380710659898476,0.2824858757062147,0.2469135802469136,0.24630541871921185,0.24630541871921185,0.2518891687657431,0.24630541871921185,0.24630541871921185
2871,0.24630541871921185,0.24752475247524752,0.24630541871921185,0.24813895781637715,0.2777777777777778,0.2518891687657431,0.2570694087403599,0.27624309392265195,0.24875621890547267,0.26666666666666666,0.2544529262086514,0.25510204081632654,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24752475247524752,0.24875621890547267,0.2531645569620253,0.25,0.2544529262086514,0.2849002849002849,0.24752475247524752,0.24630541871921185,0.24630541871921185,0.2531645569620253,0.24630541871921185,0.24630541871921185
2872,0.24752475247524752,0.24752475247524752,0.2469135802469136,0.24813895781637715,0.28169014084507044,0.2518891687657431,0.2617801047120419,0.2801120448179272,0.2506265664160401,0.2724795640326976,0.25510204081632654,0.25641025641025644,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24752475247524752,0.24937655860349128,0.2544529262086514,0.2518891687657431,0.2557544757033248,0.28901734104046245,0.24752475247524752,0.24630541871921185,0.24630541871921185,0.25641025641025644,0.24630541871921185,0.24630541871921185
2873,0.24937655860349128,0.25510204081632654,0.24752475247524752,0.24875621890547267,0.28735632183908044,0.2570694087403599,0.26881720430107525,0.2840909090909091,0.2544529262086514,0.2785515320334262,0.2570694087403599,0.2577319587628866,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24752475247524752,0.2518891687657431,0.25641025641025644,0.25380710659898476,0.2680965147453083,0.2949852507374631,0.24813895781637715,0.24630541871921185,0.24752475247524752,0.2617801047120419,0.2469135802469136,0.24630541871921185
